Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.45,mcd,66.5255,D.-T. et al. 2014,-0.5035,-0.013,9.45,0.06
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.48,mcd,66.5271,D.-T. et al. 2014,-0.5051,-0.109,9.88,0.48
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.54,mcd,66.5301,D.-T. et al. 2014,-0.5081,-0.168,10.14,0.74
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.57,mcd,66.5316,D.-T. et al. 2014,-0.5096,0.054,9.16,-0.24
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.6,mcd,66.5331,D.-T. et al. 2014,-0.5111,-0.009,9.44,0.04
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.63,mcd,66.5347,D.-T. et al. 2014,-0.5127,-0.159,10.1,0.71
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.66,mcd,66.5362,D.-T. et al. 2014,-0.5142,-0.077,9.74,0.34
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.69,mcd,66.5377,D.-T. et al. 2014,-0.5157,-0.021,9.49,0.1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.72,mcd,66.5392,D.-T. et al. 2014,-0.5172,0.001,9.39,0
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.75,mcd,66.5407,D.-T. et al. 2014,-0.5187,-0.014,9.46,0.06
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.78,mcd,66.5423,D.-T. et al. 2014,-0.5203,-0.156,10.09,0.69
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.81,mcd,66.5438,D.-T. et al. 2014,-0.5218,-0.062,9.67,0.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.84,mcd,66.5453,D.-T. et al. 2014,-0.5233,-0.094,9.81,0.42
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.87,mcd,66.5468,D.-T. et al. 2014,-0.5248,0.006,9.37,-0.03
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.9,mcd,66.5484,D.-T. et al. 2014,-0.5264,-0.145,10.04,0.64
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.93,mcd,66.5499,D.-T. et al. 2014,-0.5279,-0.163,10.12,0.72
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.96,mcd,66.5514,D.-T. et al. 2014,-0.5294,-0.128,9.96,0.57
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.99,mcd,66.5529,D.-T. et al. 2014,-0.5309,-0.007,9.43,0.03
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.01,mcd,66.5539,D.-T. et al. 2014,-0.5319,-0.164,10.12,0.73
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.04,mcd,66.5555,D.-T. et al. 2014,-0.5335,-0.055,9.64,0.24
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.07,mcd,66.557,D.-T. et al. 2014,-0.535,-0.079,9.74,0.35
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.1,mcd,66.5585,D.-T. et al. 2014,-0.5365,0.055,9.15,-0.24
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.13,mcd,66.56,D.-T. et al. 2014,-0.538,0.145,8.76,-0.64
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.16,mcd,66.5615,D.-T. et al. 2014,-0.5395,-0.118,9.92,0.52
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.19,mcd,66.5631,D.-T. et al. 2014,-0.5411,0.023,9.29,-0.1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.22,mcd,66.5646,D.-T. et al. 2014,-0.5426,-0.01,9.44,0.05
